Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Intel Core i7-10610U,2020 Q2,14 nm++,4,8,1.8,4.9,8.0,64.0,16.0,15
Intel Core i7-1060NG7,2020 Q2,10 nm+,4,8,1.2,3.8,8.0,32.0,16.0,10
Intel Core i7-1060G7,2019 Q3,10 nm+,4,8,1.0,3.8,8.0,32.0,16.0,9
Intel Core i7-10510U,2019 Q3,14 nm++,4,8,1.8,4.9,8.0,64.0,16.0,15
Intel Core i5-L16G7,2020 Q2,10 nm,5,5,1.4,3.0,4.0,8.0,6.0,15
Intel Core i5-9600KF,2019 Q1,14 nm++,6,6,3.7,4.6,9.0,128.0,16.0,95
Intel Core i5-9600K,2018 Q4,14 nm++,6,6,3.7,4.6,9.0,128.0,16.0,95
Intel Core i5-9600,2019 Q2,14 nm++,6,6,3.1,4.6,9.0,128.0,16.0,65
Intel Core i5-9500T,2019 Q2,14 nm++,6,6,2.2,3.7,9.0,128.0,16.0,35
Intel Core i5-9500F,2019 Q2,14 nm++,6,6,3.0,4.4,9.0,128.0,16.0,65
Intel Core i5-9500,2019 Q2,14 nm++,6,6,3.0,4.4,9.0,128.0,16.0,65
Intel Core i5-9400T,2019 Q2,14 nm++,6,6,1.8,3.4,9.0,128.0,16.0,35
Intel Core i5-9400H,2019 Q2,14 nm++,4,8,2.5,4.3,8.0,128.0,16.0,45
Intel Core i5-9400F,2019 Q1,14 nm++,6,6,2.9,4.1,9.0,128.0,16.0,65
Intel Core i5-9400,2019 Q1,14 nm++,6,6,2.9,4.1,9.0,128.0,16.0,65
Intel Core i5-9300H,2019 Q2,14 nm++,4,8,2.4,4.1,8.0,64.0,16.0,45
Intel Core i5-8600K,2017 Q4,14 nm++,6,6,3.6,4.3,9.0,64.0,16.0,95
Intel Core i5-8600,2018 Q2,14 nm++,6,6,3.1,4.3,9.0,64.0,16.0,64
Intel Core i5-8500T,2018 Q2,14 nm++,6,6,2.1,3.5,9.0,128.0,16.0,35
Intel Core i5-8500,2018 Q2,14 nm++,6,6,3.0,4.1,9.0,64.0,16.0,65
Intel Core i5-8400,2017 Q4,14 nm++,6,6,2.8,4.0,9.0,64.0,16.0,65
Intel Core i5-8365U,2019 Q2,14 nm++,4,8,1.6,4.1,6.0,64.0,16.0,15
Intel Core i5-8350U,2017 Q3,14 nm+,4,8,1.7,3.6,6.0,32.0,12.0,15
Intel Core i5-8300H,2018 Q2,14 nm++,4,8,2.3,4.0,8.0,64.0,16.0,45
Intel Core i5-8265U,2018 Q3,14 nm++,4,8,1.6,3.9,6.0,64.0,12.0,15
Intel Core i5-8259U,2018 Q2,14 nm+,4,8,2.3,3.8,6.0,32.0,16.0,28
Intel Core i5-8257U,2019 Q3,14 nm+,4,8,1.4,3.9,6.0,32.0,16.0,15
Intel Core i5-8250U,2017 Q3,14 nm+,4,8,1.6,3.4,6.0,32.0,12.0,15
Intel Core i5-8210Y,2019 Q1,14 nm,2,4,1.6,3.6,4.0,16.0,10.0,7
Intel Core i5-8200Y,2018 Q3,14 nm,2,4,1.3,3.9,4.0,16.0,10.0,5
Intel Core i5-7640X,2017 Q2,14 nm+,4,4,4.0,4.2,6.0,64.0,16.0,112
Intel Core i5-7600K,2017 Q1,14 nm+,4,4,3.8,4.2,6.0,64.0,16.0,91
Intel Core i5-7600,2017 Q1,14 nm+,4,4,3.5,4.1,6.0,64.0,16.0,65
Intel Core i5-760,2010 Q3,45 nm,4,4,2.8,3.33,8.0,16.0,16.0,95
Intel Core i5-7500,2017 Q1,14 nm+,4,4,3.4,3.8,6.0,64.0,16.0,65
Intel Core i5-750,2009 Q3,45 nm,4,4,2.66,3.2,8.0,16.0,16.0,95
Intel Core i5-7400,2017 Q1,14 nm+,4,4,3.0,3.5,6.0,64.0,16.0,65
Intel Core i5-7360U,2017 Q1,14 nm+,2,4,2.3,3.6,4.0,32.0,12.0,15
Intel Core i5-7300U,2017 Q1,14 nm+,2,4,2.6,3.5,3.0,32.0,12.0,15
Intel Core i5-7300HQ,2017 Q1,14 nm+,4,4,2.5,3.5,6.0,32.0,16.0,45
Intel Core i5-7200U,2016 Q3,14 nm+,2,4,2.5,3.1,3.0,32.0,12.0,15
Intel Core i5-6600K,2015 Q3,14 nm,4,4,3.5,3.9,6.0,64.0,16.0,91
Intel Core i5-6600,2015 Q3,14 nm,4,4,3.3,3.9,6.0,64.0,16.0,65
Intel Core i5-6500T,2015 Q3,14 nm,4,4,2.5,3.1,6.0,64.0,16.0,35
Intel Core i5-6500,2015 Q3,14 nm,4,4,3.2,3.6,6.0,64.0,16.0,65
Intel Core i5-650,2010 Q1,32 nm,2,4,3.2,3.46,4.0,16.38,16.0,73
Intel Core i5-6400,2015 Q3,14 nm,4,4,2.7,3.3,6.0,64.0,16.0,65
Intel Core i5-6300U,2015 Q3,14 nm,2,4,2.4,3.0,3.0,32.0,12.0,15
Intel Core i5-6300HQ,2015 Q3,14 nm,4,4,2.3,3.2,6.0,64.0,16.0,45
Intel Core i5-6200U,2015 Q3,14 nm,2,4,2.3,2.8,3.0,32.0,12.0,15
Intel Core i5-5300U,2015 Q1,14 nm,2,4,2.3,2.9,3.0,16.0,12.0,15
Intel Core i5-5257U,2015 Q1,14 nm,2,4,2.7,3.1,3.0,16.0,12.0,28
Intel Core i5-5250U,2015 Q1,14 nm,2,4,1.6,2.7,3.0,16.0,12.0,15
Intel Core i5-5200U,2015 Q1,14 nm,2,4,2.2,2.7,3.0,16.0,12.0,15
Intel Core i5-4690K,2014 Q2,22 nm,4,4,3.5,3.9,6.0,32.0,16.0,88
Intel Core i5-4690,2014 Q2,22 nm,4,4,3.5,3.9,6.0,32.0,16.0,84
Intel Core i5-4670K,2013 Q2,22 nm,4,4,3.4,3.8,6.0,32.0,16.0,84
Intel Core i5-4670,2013 Q2,22 nm,4,4,3.4,3.8,6.0,32.0,16.0,84
Intel Core i5-4590,2014 Q2,22 nm,4,4,3.3,3.7,6.0,32.0,16.0,84
Intel Core i5-4570,2013 Q2,22 nm,4,4,3.2,3.6,6.0,32.0,16.0,84
Intel Core i5-4460,2014 Q2,22 nm,4,4,3.2,3.4,6.0,32.0,16.0,84
Intel Core i5-4440,2013 Q3,22 nm,4,4,3.1,3.3,6.0,32.0,16.0,84
Intel Core i5-4430,2013 Q2,22 nm,4,4,3.0,3.2,6.0,32.0,16.0,84
Intel Core i5-4300U,2013 Q3,22 nm,2,4,1.9,2.9,3.0,16.0,12.0,15
Intel Core i5-4250U,2013 Q3,22 nm,2,4,1.3,2.6,3.0,16.0,12.0,15
Intel Core i5-4210U,2014 Q2,22 nm,2,4,1.7,2.7,3.0,16.0,12.0,15
Intel Core i5-4200U,2013 Q3,22 nm,2,4,1.6,2.6,3.0,16.0,12.0,15
Intel Core i5-3570K,2012 Q2,22 nm,4,8,3.4,3.8,6.0,32.0,16.0,77
Intel Core i5-3570,2012 Q2,22 nm,4,4,3.4,3.8,6.0,32.0,16.0,77
Intel Core i5-3470,2012 Q2,22 nm,4,4,3.2,3.6,6.0,32.0,16.0,77
Intel Core i5-3450,2012 Q2,22 nm,4,4,3.1,3.5,6.0,32.0,16.0,77
Intel Core i5-3340,2013 Q3,22 nm,4,4,3.1,3.3,6.0,32.0,16.0,77
Intel Core i5-3330,2012 Q3,22 nm,4,4,3.0,3.2,6.0,32.0,16.0,77
Intel Core i5-3320M,2012 Q2,22 nm,2,4,2.6,3.3,3.0,32.0,16.0,35
Intel Core i5-3317U,2012 Q2,22 nm,2,4,1.7,2.6,3.0,32.0,16.0,17
Intel Core i5-3230M,2013 Q1,22 nm,2,4,2.6,3.2,3.0,32.0,16.0,35
Intel Core i5-3210M,2012 Q2,22 nm,2,4,2.5,3.1,3.0,32.0,16.0,35
Intel Core i5-2520M,2011 Q1,32 nm,2,4,2.5,3.2,3.0,16.0,16.0,35
Intel Core i5-2500K,2011 Q1,32 nm,4,4,3.3,3.7,6.0,32.0,16.0,95
Intel Core i5-2500,2011 Q1,32 nm,4,4,3.3,3.7,6.0,32.0,16.0,95
Intel Core i5-2400,2011 Q1,32 nm,4,4,3.1,3.4,6.0,32.0,16.0,95
Intel Core i5-2320,2011 Q3,32 nm,4,4,3.0,3.3,6.0,32.0,16.0,95
Intel Core i5-2300,2011 Q1,32 nm,4,4,2.8,3.1,6.0,32.0,16.0,95
Intel Core i5-1135G7,2020 Q3,10 nm SuperFin,4,8,2.4,4.2,8.0,64.0,16.0,28
Intel Core i5-1130G7,2020 Q3,10 nm SuperFin,4,8,1.1,4.0,8.0,32.0,16.0,15
Intel Core i5-10600KF,2020 Q2,14 nm+++,6,12,4.1,4.8,12.0,128.0,16.0,125
Intel Core i5-10600KA,2020 Q4,14 nm+++,6,12,4.1,4.8,12.0,128.0,16.0,125
Intel Core i5-10600K,2020 Q2,14 nm+++,6,12,4.1,4.8,12.0,128.0,16.0,125
Intel Core i5-10600,2020 Q2,14 nm+++,6,12,3.3,4.8,12.0,128.0,16.0,65
Intel Core i5-10500T,2020 Q2,14 nm+++,6,12,2.3,3.7,12.0,128.0,16.0,35
Intel Core i5-10500K,2020 Q2,14 nm+++,6,12,3.5,4.7,12.0,128.0,16.0,95
Intel Core i5-10500,2020 Q2,14 nm+++,6,12,3.1,4.5,12.0,128.0,16.0,65
Intel Core i5-10400T,2020 Q2,14 nm+++,6,12,2.0,3.6,12.0,128.0,16.0,35
Intel Core i5-10400H,2020 Q2,14 nm+++,4,8,2.6,4.6,8.0,128.0,16.0,45
Intel Core i5-10400F,2020 Q2,14 nm+++,6,12,2.9,4.3,12.0,128.0,16.0,65
Intel Core i5-10400,2020 Q2,14 nm+++,6,12,2.9,4.3,12.0,128.0,16.0,65
Intel Core i5-1038NG7,2020 Q2,10 nm+,4,8,2.0,3.8,6.0,64.0,16.0,28
Intel Core i5-1035G7,2019 Q3,10 nm+,4,8,1.2,3.7,6.0,64.0,16.0,15
Intel Core i5-1035G4,2019 Q3,10 nm+,4,8,1.1,3.7,6.0,64.0,16.0,15
Intel Core i5-1035G1,2019 Q3,10 nm+,4,8,1.0,3.6,6.0,64.0,16.0,15
Intel Core i5-10310U,2020 Q2,14 nm++,4,8,1.7,4.4,6.0,64.0,16.0,15
Intel Core i5-1030NG7,2020 Q2,10 nm+,4,8,1.1,3.5,6.0,32.0,16.0,10
Intel Core i5-1030G4,2019 Q3,10 nm+,4,8,0.7,3.5,6.0,32.0,16.0,9
Intel Core i5-10300H,2020 Q2,14 nm+++,4,8,2.5,4.5,8.0,128.0,16.0,45
Intel Core i5-10210U,2019 Q3,14 nm++,4,8,1.6,4.2,6.0,64.0,16.0,15
Intel Core i3-L13G4,2020 Q2,10 nm,5,5,0.8,2.8,4.0,9.0,6.0,15
Intel Core i3-9350KF,2019 Q1,14 nm++,4,4,4.0,4.6,8.0,64.0,16.0,91
Intel Core i3-9350K,2019 Q2,14 nm++,4,4,4.0,4.6,8.0,64.0,16.0,91
Intel Core i3-9300,2019 Q2,14 nm++,4,4,3.7,4.3,8.0,64.0,16.0,62
Intel Core i3-9100T,2019 Q2,14 nm++,4,4,3.1,3.7,6.0,64.0,16.0,35
Intel Core i3-9100F,2019 Q2,14 nm++,4,4,3.6,4.2,6.0,64.0,16.0,65
Intel Core i3-9100,2019 Q2,14 nm++,4,4,3.7,3.7,6.0,64.0,16.0,65
Intel Core i3-8350K,2017 Q4,14 nm++,4,4,4.0,4.0,8.0,64.0,16.0,91
Intel Core i3-8300,2018 Q2,14 nm++,4,4,3.7,3.7,8.0,64.0,16.0,62
Intel Core i3-8145U,2018 Q3,14 nm++,2,4,2.1,3.9,4.0,64.0,16.0,15
Intel Core i3-8130U,2018 Q1,14 nm+,2,4,2.2,3.4,4.0,32.0,12.0,15
Intel Core i3-8100,2017 Q4,14 nm++,4,4,3.6,3.6,6.0,64.0,16.0,65
Intel Core i3-7350K,2017 Q1,14 nm+,2,4,4.2,4.2,4.0,64.0,16.0,60
Intel Core i3-7300,2017 Q1,14 nm+,2,4,4.0,4.0,4.0,64.0,16.0,51
Intel Core i3-7100U,2016 Q3,14 nm+,2,4,2.4,2.4,3.0,32.0,12.0,15
Intel Core i3-7100,2017 Q1,14 nm+,2,4,3.9,3.9,3.0,64.0,16.0,51
Intel Core i3-7020U,2018 Q2,14 nm+,2,4,2.3,2.3,3.0,32.0,12.0,15
Intel Core i3-6100U,2015 Q3,14 nm,2,4,2.3,2.3,3.0,32.0,12.0,15
Intel Core i3-6100,2015 Q3,14 nm,2,4,3.7,3.7,3.0,64.0,16.0,51
Intel Core i3-6006U,2016 Q4,14 nm,2,4,2.0,2.0,3.0,32.0,12.0,15
Intel Core i3-530,2010 Q1,32 nm,2,4,2.93,2.93,4.0,16.38,16.0,73
Intel Core i3-5005U,2015 Q1,14 nm,2,4,2.0,2.0,3.0,16.0,12.0,15
Intel Core i3-4170,2015 Q1,22 nm,2,4,3.7,3.7,3.0,32.0,16.0,54
Intel Core i3-4160,2014 Q3,22 nm,2,4,3.6,3.6,3.0,32.0,16.0,54
Intel Core i3-4150,2014 Q2,22 nm,2,4,3.5,3.5,3.0,32.0,16.0,54
Intel Core i3-4130,2013 Q3,22 nm,2,4,3.4,3.4,3.0,32.0,16.0,54
Intel Core i3-4005U,2013 Q3,22 nm,2,4,1.7,1.7,3.0,16.0,10.0,15
Intel Core i3-350M,2010 Q1,32 nm,2,4,2.26,2.26,3.0,8.0,16.0,35
Intel Core i3-330M,2010 Q1,32 nm,2,4,2.13,2.13,3.0,8.0,16.0,35
Intel Core i3-3240,2012 Q3,22 nm,2,4,3.4,3.4,3.0,32.0,16.0,55
Intel Core i3-3220,2012 Q3,22 nm,2,4,3.3,3.3,3.0,32.0,16.0,55
Intel Core i3-3217U,2012 Q2,22 nm,2,4,1.8,1.8,3.0,32.0,16.0,17
Intel Core i3-3110M,2012 Q2,32 nm,2,4,2.4,2.4,3.0,32.0,16.0,35
Intel Core i3-2310M,2011 Q1,32 nm,2,4,2.1,2.1,3.0,16.0,16.0,35
Intel Core i3-2130,2011 Q3,32 nm,2,4,3.4,3.4,3.0,32.0,16.0,65
Intel Core i3-2120,2011 Q1,32 nm,2,4,3.3,3.3,3.0,32.0,16.0,65
Intel Core i3-2100,2011 Q1,32 nm,2,4,3.1,3.1,3.0,32.0,16.0,65
Intel Core i3-10350K,2020 Q2,14 nm+++,4,8,4.1,4.8,9.0,64.0,16.0,91
Intel Core i3-10320,2020 Q2,14 nm+++,4,8,3.8,4.6,9.0,64.0,16.0,65
Intel Core i3-10300,2020 Q2,14 nm+++,4,8,3.7,4.4,9.0,64.0,16.0,65
Intel Core i3-10110U,2019 Q3,14 nm++,2,4,2.1,4.1,4.0,64.0,16.0,15
Intel Core i3-10100T,2020 Q2,14 nm+++,4,8,2.3,3.6,8.0,64.0,16.0,35
Intel Core i3-10100K,2020 Q2,14 nm+++,4,8,3.4,4.0,8.0,64.0,16.0,65
Intel Core i3-10100F,2020 Q4,14 nm+++,4,8,3.6,4.3,6.0,128.0,16.0,65
Intel Core i3-10100,2020 Q2,14 nm+++,4,8,3.6,4.3,8.0,64.0,16.0,65
Intel Core i3-1005G1,2019 Q3,10 nm+,2,4,1.2,3.4,4.0,64.0,16.0,15
Intel Core i3-1000NG4,2020 Q2,10 nm+,2,4,1.1,3.2,4.0,32.0,16.0,9
Intel Core i3-1000G4,2019 Q3,10 nm+,2,4,1.1,3.2,4.0,32.0,16.0,9
Intel Core i3-1000G1,2019 Q3,10 nm+,2,4,1.1,3.2,4.0,32.0,16.0,9
Intel Core 2 Quad Q9650,2008 Q3,45 nm,4,4,3.0,3.0,12.0,8.0,16.0,95
Intel Core 2 Quad Q9550,2008 Q1,45 nm,4,4,2.83,2.83,12.0,8.0,16.0,95
Intel Core 2 Quad Q9400,2008 Q3,45 nm,4,4,2.66,2.66,6.0,8.0,16.0,95
Intel Core 2 Quad Q9200,2008 Q3,45 nm,4,4,2.4,2.4,12.0,8.0,16.0,45
Intel Core 2 Quad Q8400,2009 Q2,45 nm,4,4,2.66,2.66,6.0,16.0,16.0,95
Intel Core 2 Quad Q8200,2008 Q3,45 nm,4,4,2.33,2.33,4.0,16.0,16.0,95
Intel Core 2 Quad Q6700,2007 Q3,65 nm,4,4,2.66,2.66,8.0,4.0,16.0,105
Intel Core 2 Quad Q6600,2007 Q1,65 nm,4,4,2.4,2.4,8.0,4.0,16.0,105
Intel Core 2 Duo E8600,2008 Q3,45 nm,2,2,3.33,3.33,6.0,8.0,16.0,65
Intel Core 2 Duo E8500,2008 Q1,45 nm,2,2,3.16,3.16,6.0,8.0,16.0,65
Intel Core 2 Duo E8400,2008 Q1,45 nm,2,2,3.0,3.0,6.0,8.0,16.0,65
Intel Core 2 Duo E7500,2009 Q1,45 nm,2,2,2.93,2.93,3.0,8.0,16.0,65
Intel Celeron N4120,2019 Q4,14 nm,4,4,1.1,2.6,4.0,8.0,6.0,6
Intel Celeron N4100,2017 Q4,14 nm,4,4,1.1,2.4,4.0,8.0,6.0,6
Intel Celeron N4020,2019 Q4,14 nm,2,2,1.1,2.8,4.0,8.0,6.0,6
Intel Celeron N4000,2017 Q4,14 nm,2,2,1.1,2.6,4.0,8.0,6.0,6
Intel Celeron N3450,2016 Q3,14 nm,4,4,1.1,2.2,2.0,8.0,6.0,6
Intel Celeron N3350,2016 Q3,14 nm,2,2,1.1,2.4,2.0,8.0,6.0,6
Intel Celeron N3160,2016 Q1,14 nm,4,4,1.6,2.24,2.0,8.0,4.0,6
Intel Celeron N3150,2015 Q1,14 nm,4,4,1.6,2.08,2.0,8.0,4.0,6
Intel Celeron N3060,2016 Q1,14 nm,2,2,1.6,2.48,2.0,8.0,4.0,6
Intel Celeron N3050,2015 Q1,14 nm,2,2,1.6,2.16,2.0,8.0,4.0,6
Intel Celeron N2840,2014 Q3,22 nm,2,2,1.6,2.58,1.0,8.0,4.0,8
Intel Celeron J4125,2019 Q4,14 nm,4,4,2.0,2.7,4.0,8.0,6.0,10
Intel Celeron J4115,2020 Q1,14 nm,4,4,1.8,2.5,4.0,8.0,6.0,10
Intel Celeron J4105,2017 Q4,14 nm,4,4,1.5,2.5,4.0,8.0,6.0,10
Intel Celeron J4005,2017 Q4,14 nm,2,2,2.0,2.7,4.0,8.0,6.0,10
Intel Celeron J3455,2016 Q3,14 nm,4,4,1.5,2.3,2.0,8.0,6.0,10
Intel Celeron J3355,2016 Q3,14 nm,2,2,2.0,2.5,2.0,8.0,6.0,10
Intel Celeron J1900,2013 Q4,22 nm,4,4,2.0,2.42,2.0,8.0,4.0,10
Intel Celeron G3930,2017 Q1,14 nm+,2,2,2.9,2.9,2.0,64.0,16.0,51
Intel Celeron 5205U,2019 Q4,14 nm++,2,2,1.9,1.9,2.0,64.0,12.0,15
Intel Celeron 3865U,2017 Q1,14 nm+,2,2,1.8,1.8,2.0,32.0,10.0,15
Intel Atom Z3745,2014 Q1,22 nm,4,4,1.33,1.86,2.0,4.0,,2
Intel Atom Z3580,2014 Q2,22 nm,4,4,2.33,2.33,2.0,4.0,,2
Intel Atom x5-Z8550,2016 Q1,14 nm,4,4,1.44,2.4,2.0,8.0,2.0,2
Intel Atom x5-Z8500,2015 Q1,14 nm,4,4,1.44,2.24,2.0,8.0,2.0,2
Intel Atom x5-Z8350,2016 Q1,14 nm,4,4,1.44,1.92,2.0,2.0,1.0,2
Intel Atom x5-Z8300,2015 Q2,14 nm,4,4,1.44,1.84,2.0,2.0,1.0,2
Intel Atom x5-E8000,2016 Q1,14 nm,4,4,1.04,1.04,2.0,8.0,4.0,5
Intel Atom D525,2010 Q2,45 nm,2,4,1.8,1.8,1.0,4.0,,13
Intel 4004,1971 Q4,10 Î¼m,1,1,0.0005,0.00075,,4e-06,,1
Dual Intel Xeon X5690,2011 Q1,32 nm,12,24,3.46,3.73,24.0,576.0,72.0,260
Dual Intel Xeon X5675,2011 Q1,32 nm,12,24,3.06,3.46,24.0,576.0,72.0,190
Dual Intel Xeon X5670,2010 Q1,32 nm,12,24,2.93,3.33,24.0,576.0,72.0,190
Dual Intel Xeon X5570,2009 Q1,45 nm,8,16,2.93,3.33,16.0,288.0,72.0,190
Dual Intel Xeon Silver 4210,2019 Q2,14 nm,20,40,2.2,3.2,27.5,2000.0,96.0,170
Dual Intel Xeon Platinum P-8136,2017 Q3,14 nm+,56,112,2.0,3.7,77.0,1536.0,96.0,330
Dual Intel Xeon Platinum 9282,2019 Q2,14 nm,112,224,2.6,3.8,154.0,4000.0,80.0,800
Dual Intel Xeon Platinum 8380HL,2020 Q2,14 nm++,56,112,2.9,4.3,77.0,9000.0,96.0,500
Dual Intel Xeon Platinum 8280,2019 Q2,14 nm,56,112,2.7,4.0,77.0,2000.0,96.0,410
Dual Intel Xeon Platinum 8180M,2017 Q3,14nm+,56,112,2.5,3.8,77.0,3000.0,96.0,410
Dual Intel Xeon Platinum 8180,2017 Q3,14 nm+,56,112,2.5,3.8,77.0,1536.0,96.0,410
Dual Intel Xeon Platinum 8176,2017 Q3,14 nm+,56,112,2.1,3.8,77.0,1536.0,96.0,330
Dual Intel Xeon Platinum 8175M,2017 Q3,14nm+,48,96,2.5,3.5,66.0,3072.0,96.0,480
Dual Intel Xeon Platinum 8173M,2017 Q3,14 nm+,56,112,2.0,3.5,77.0,3072.0,96.0,330
Dual Intel Xeon Platinum 8168,2017 Q3,14 nm+,48,96,2.7,3.7,66.0,1536.0,96.0,410
Dual Intel Xeon Platinum 8167M,2017 Q3,14 nm+,52,104,2.0,2.4,71.5,3072.0,96.0,330
Dual Intel Xeon Platinum 8124M,2017 Q3,14 nm+,36,72,3.0,3.5,49.5,3072.0,96.0,400
Dual Intel Xeon E7-8895 v2,2014 Q1,22 nm,30,60,2.8,3.6,75.0,3000.0,64.0,310
Dual Intel Xeon E5-2699 v4,2016 Q1,14 nm,44,88,2.2,3.6,110.0,300.0,80.0,290
Dual Intel Xeon E5-2699 v3,2014 Q3,32 nm,36,72,2.3,3.6,90.0,1536.0,80.0,290
Dual Intel Xeon E5-2690 v4,2016 Q1,14 nm,14,28,2.6,3.5,35.0,1500.0,40.0,135
Dual Intel Xeon E5-2690 v3,2014 Q3,22 nm,24,48,2.6,3.5,60.0,1536.0,80.0,270
Dual Intel Xeon E5-2690 v2,2013 Q3,22 nm,20,40,3.0,3.6,50.0,1536.0,80.0,260
Dual Intel Xeon E5-2690,2012 Q1,32 nm,16,32,2.9,3.8,40.0,768.0,80.0,270
Dual Intel Xeon E5-2689,2012 Q1,32 nm,16,32,2.6,3.6,40.0,768.0,80.0,230
Dual Intel Xeon E5-2680 v3,2014 Q3,22 nm,24,48,2.5,3.3,60.0,1536.0,80.0,240
Dual Intel Xeon E5-2680 v2,2013 Q3,22 nm,20,40,2.8,3.6,50.0,1536.0,80.0,230
Dual Intel Xeon E5-2680,2012 Q1,32 nm,16,32,2.7,3.5,40.0,768.0,80.0,260
Dual Intel Xeon E5-2670,2012 Q1,32 nm,16,32,2.6,3.3,40.0,768.0,80.0,230
Dual Intel Xeon E5-2650 v2,2013 Q3,22 nm,16,32,2.6,3.4,40.0,1536.0,80.0,190
Dual Intel Xeon E5-2650,2012 Q1,32 nm,16,32,2.0,2.8,40.0,768.0,80.0,190
Dual Intel Xeon E5-2620,2012 Q1,32 nm,12,24,2.0,2.5,30.0,768.0,80.0,190
