GPU,gpu_basespeed,gpu_turbospeed,pixel_shaders,gpu_memory,memory_speed
NVIDIA GeForce GTX 1650 Ti (Laptop),1035,1200,1024,4,12000
AMD Radeon RX 560X (4GB GDDR5),1172,1275,1024,4,6000
NVIDIA GeForce GTX 1060 Max-Q (6GB GDDR5),1265,1480,1280,6,8000
Intel Iris Graphics 540,300,1050,48,0.064,0
AMD Radeon R7 M360 (2GB GDDR5),1125,2000,384,2,2000
NVIDIA GeForce GTX 1660 Ti Max-Q,1140,1335,1536,3,12000
NVIDIA GeForce GTX 1050 Max-Q (34W),640,1189,1328,2,7000
NVIDIA GeForce MX130 (2GB GDDR5),384,1122,1242,2,5012
AMD Radeon 530 (2GB DDR3),384,1024,1024,2,2250
NVIDIA Quadro P620 (2GB GDDR5),512,1177,1442,2,6000
NVIDIA Quadro M620 (2GB GDDR5),512,1018,1018,2,5012
AMD Radeon 540 (2GB GDDR5),512,1219,1219,2,6000
AMD Radeon Vega 9,576,1300,1300,0,0
"NVIDIA Quadro P2000 (Laptop, 4GB GDDR5)",768,1215,1468,4,6008
AMD FirePro W5130M (2GB GDDR5),512,925,925,2,4000
Intel Iris Plus Graphics 640,48,300,1050,0.064,0
NVIDIA Quadro P520 (2GB GDDR5),384,1303,1493,2,7216
NVIDIA GeForce GT 750M (2GB GDDR5),967,967,384,2,3500
NVIDIA GeForce 940M (2GB DDR3),1122,1242,384,2,4000
Intel HD Graphics 515,300,1000,24,0,0
NVIDIA GeForce GTX 950M (2GB GDDR5),993,1124,640,2,3400
NVIDIA Quadro P1000 (4GB GDDR5),1493,1519,512,4,6008
NVIDIA GeForce GTX 1050 (3GB GDDR5),1493,1620,768,3,7000
NVIDIA GeForce RTX 2080 SUPER Max-Q,975,1230,3072,8,11000
NVIDIA GeForce GTX 1050 Ti (2GB GDDR5),1493,1620,768,2,7000
NVIDIA Quadro P620 (4GB GDDR5),1177,1442,512,4,6000
AMD Radeon 530 (2GB GDDR5),1024,1024,384,2,2250
AMD Radeon Pro WX 3200 (4GB GDDR5),1082,1082,640,4,6000
NVIDIA GeForce GTX 1650 Ti Max-Q,1035,1200,1024,4,10000
NVIDIA GeForce RTX 2060 Max-Q,975,1185,1920,6,11000
NVIDIA GeForce RTX 2070 (Laptop),1215,1440,2304,6,14002
NVIDIA GeForce GTX 1070 (8GB GDDR5),1443,1645,2048,8,8000
NVIDIA Quadro T1000 (4GB GDDR5),1395,1455,768,4,8000
NVIDIA GeForce RTX 2070 Max-Q,1080,1305,2304,8,12000
NVIDIA GeForce RTX 2070 SUPER Max-Q,930,1155,2560,8,11000
NVIDIA GeForce GTX 1070 Max-Q (8GB GDDR5),1215,1379,2048,8,8000
NVIDIA Quadro M1200 (4GB GDDR5),991,1150,640,2,5000
NVIDIA Quadro M1000M (2GB GDDR5),993,1072,512,2,5000
NVIDIA Quadro P500 (2GB GDDR5),1455,1519,256,2,5012
"AMD Radeon RX Vega M GL (Vega 870, 4GB HBM2)",931,1011,1280,4,1400
NVIDIA Quadro P3000 (6GB GDDR5),1088,1215,1280,6,7008
NVIDIA GeForce 940M (1GB GDDR5),1122,1242,384,1,4000
NVIDIA GeForce RTX 2080 Max-Q,990,1230,2944,8,12000
NVIDIA GeForce GTX 970M (3GB GDDR5),924,1038,1280,3,5000
NVIDIA Quadro M2200 (4GB GDDR5),694,1038,1024,4,5508
NVIDIA GeForce GTX 965M (2GB GDDR5),924,950,2048,2,5000
NVIDIA GeForce RTX 2070 SUPER (Laptop),1140,1380,2560,8,14002
NVIDIA Quadro T2000 (4GB GDDR5),1575,1785,1024,4,8000
NVIDIA GeForce RTX 2060 SUPER (Laptop),960,1200,1920,6,14000
NVIDIA Quadro M520 (2GB GDDR5),756,1019,384,2,
NVIDIA GeForce GTX 1080 Max-Q (8GB GDDR5X),1290,1468,2560,8,10000
NVIDIA Quadro P600 (4GB GDDR5),1430,1620,384,4,5012
NVIDIA Quadro RTX 3000 Max-Q (6GB GDDR6),870,1380,1920,6,14000
NVIDIA Quadro RTX 3000 (6GB GDDR6),945,1380,1920,6,14000
NVIDIA GeForce GTX 1060 Max-Q (3GB GDDR5),1265,1480,1280,3,8000
"NVIDIA GeForce MX330 (4GB GDDR5, 25W)",1531,1594,384,4,7000
AMD Radeon RX 540 (4GB GDDR5),1219,1219,512,4,6000
NVIDIA Quadro P520 (4GB GDDR5),1303,1496,384,4,6000
NVIDIA Quadro M2000M (4GB GDDR5),1038,1197,640,4,5000
NVIDIA GeForce RTX 2080 (Laptop),1380,1590,2944,8,14000
NVIDIA GeForce RTX 2080 SUPER (Laptop),1365,1560,3072,8,14000
AMD Radeon Pro 555X (4GB GDDR5),855,855,768,4,5080
NVIDIA Quadro P5000 (16GB GDDR5),1164,1506,2048,16,6006
AMD Radeon Pro 5500M (8GB GDDR6),1300,1300,1536,8,12000
NVIDIA GeForce GTX 765M (2GB GDDR5),850,850,768,2,4000
"AMD Radeon RX Vega 8 (Ryzen 2000/3000, 35W)",1200,1200,512,8,800
NVIDIA GeForce MX350,1354,1468,640,4,7000
AMD Radeon R7 (Kaveri),553,686,512,0,
Intel HD Graphics 5300,100,900,24,0,0
NVIDIA GeForce GTX 960M (4GB GDDR5),1096,1202,640,4,5000
NVIDIA GeForce 940MX (2GB DDR3),1122,1242,384,2,4000
NVIDIA GeForce 940MX (4GB GDDR5),1122,1242,384,4,4000
Intel UHD Graphics 600,300,700,12,0,0
Intel HD Graphics 500 (Apollo Lake),300,700,12,0,0
ARM Mali-G72 MP3,,,,,
Imagination PowerVR GX6250,,,,,
Intel HD Graphics 400 (Braswell),320,640,12,0,0
AMD Radeon R4,800,128,128,0,0
Intel HD Graphics 5000,200,1100,40,0,0
Intel UHD Graphics 605,300,750,18,0,0
AMD Radeon RX Vega 3,1000,1000,192,0,0
AMD Radeon R2,300,600,128,0,0
AMD Radeon R3 (Beema),350,686,128,0,0
Intel HD Graphics 620,300,1050,24,0,0
Intel HD Graphics (Bay Trail),311,896,4,0,0
Intel UHD Graphics G1,300,1100,32,0,0
Intel HD Graphics 405 (Braswell),320,700,16,0,0
Intel HD Graphics 505 (Apollo Lake),300,750,18,0,0
Intel HD Graphics 610,300,950,12,0,0
"AMD Radeon RX Vega 8 (Ryzen 2000/3000, 15W)",1200,1200,512,0,0
AMD Radeon R5 (Stoney Ridge),800,800,192,0,0
AMD Radeon R7 (Bristol Ridge),900,900,512,0,0
Intel HD Graphics (Broadwell),100,850,12,0,0
Intel HD Graphics 510,300,950,12,0,0
Intel UHD Graphics 615,300,1000,24,0,0
Intel HD Graphics (Cherry Trail),200,600,16,0,0
Intel UHD Graphics,,,,,
NVIDIA GeForce MX150 (4GB GDDR5),1468,1532,384,4,6008
Intel Iris Plus Graphics G7,300,1100,64,0,0
Intel UHD Graphics 610,300,950,12,0,0
Intel HD Graphics 520,300,1050,24,0,0
Intel UHD Graphics 620,300,1150,24,0,0
"AMD Radeon RX Vega 6 (Ryzen 2000/3000, 15W)",1100,1100,384,0,0
Intel HD Graphics 615,300,1050,24,0,0
Intel Iris Plus Graphics G4,300,1100,48,0,0
Intel HD Graphics 4400,200,1100,20,0,0
AMD Radeon R5 (Carrizo-L),850,850,128,0,0
NVIDIA GeForce 940MX (4GB DDR3),1122,1242,384,4,4000
Intel HD Graphics 5500,300,950,24,0,0
AMD Radeon R6 (Kaveri),533,654,384,0,0
Qualcomm Adreno 540,,,,,
AMD Radeon R7 M445 (4GB GDDR5),920,920,320,4,2000
Intel HD Graphics 4600,200,1350,20,0,0
"AMD Radeon RX Vega 6 (Ryzen 4000, 15W)",1500,1500,384,0,0
NVIDIA GeForce GTX 1650 Max-Q,1020,1245,1024,4,8000
NVIDIA GeForce MX250 (25W),1518,1582,384,4,7000
NVIDIA GeForce GTX 1650 (Laptop),1020,1245,1024,2,8000
"NVIDIA GeForce MX330 (2GB GDDR5, 25W)",1531,1594,384,2,7000
NVIDIA GeForce MX150 (2GB GDDR5),1468,1532,384,2,6008
NVIDIA GeForce GTX 1050 Ti Max-Q (4GB GDDR5),1290,1417,768,4,7000
NVIDIA GeForce GTX 960M (2GB GDDR5),1096,1202,640,2,5000
NVIDIA GeForce GTX 1660 Ti (Laptop),1455,1590,1536,6,12000
NVIDIA GeForce GTX 1050 (2GB GDDR5),1354,1493,640,2,7000
NVIDIA GeForce GTX 1050 Ti (4GB GDDR5),1493,1620,768,4,7000
AMD Radeon RX 5500M (4GB GDDR6),1327,1645,1408,4,14000
NVIDIA GeForce RTX 2060 (Laptop),960,1200,1920,6,14000
NVIDIA GeForce MX230 (2GB GDDR5),1519,1531,256,2,7000
"AMD Radeon RX Vega 7 (Ryzen 4000, 15W)",1600,1600,448,0.5,
AMD Radeon 610,1030,1030,320,4,2250
NVIDIA GeForce MX250 (4GB GDDR5),1518,1582,384,4,7000
NVIDIA GeForce GTX 1050 (4GB GDDR5),1354,1493,640,4,7000
AMD Radeon RX 5600M,1265,1265,2304,6,12000
NVIDIA GeForce 930MX (2GB DDR3),952,1020,384,2,2000
Intel UHD Graphics 630,300,1150,24,0,0
NVIDIA GeForce 940MX (2GB GDDR5),1122,1242,384,2,4000
AMD Radeon RX Vega 10,1300,1300,640,0,0
AMD Radeon 540X (2GB GDDR5),1219,1219,512,2,6000
NVIDIA GeForce GTX 1060 (6GB GDDR5),1404,1670,1280,6,8000
Intel HD Graphics 630,300,1150,24,0,0
NVIDIA Quadro P600 (2GB GDDR5),1430,1620,384,2,5012
AMD Radeon 530 (4GB GDDR5),1024,1024,384,4,2250
Intel HD Graphics 530,350,1150,24,0,0
NVIDIA GeForce GTX 1060 (3GB GDDR5),1404,1670,1280,3,8000
